name_of_villains
A.I.M.
A.J. Arno
Abdullah
Abis Mal's Thugs
Abomination
Abraxas
Absorbing Man
Acer
Aconcagua
Candace Adams
Amber Addison
Adegast
Adelbert
Admiral Evar
Admiral Rampart
Aerosol
Agamotto
Agatha (Jessie)
Agatha Harkness
Agent 33
Agent Gordon (Parallel Universe)
Agent X
Aggro
Aida
Air Pirates
Airiels
Ajax the Gorilla
Ajed Al-Gebraic
Akita
Al Muddy Sultan
Alador and Odalia Blight
Alex (Halloweentown)
Alexander Galbaki
Amber Algoode
Algrim
Alioth
All Hands and Mr. Starfish
Allegiant General Pryde
Irwina Allen
Alley Dogs
Alonzo
Alpha
The Altos
Alucard Van Heusen
Amal
Di Amara
Amazonia
Amber Lee Adams
The Ambusher
Queen Amena
Amora the Enchantress
Anansi
Andrea Sage
Andrew
Andy the Watchdog
Angar the Screamer
Angela (Jessie)
Angelica
Angelo (Who Framed Roger Rabbit)
Brooke Angels
Angler
Lord Angstrom
Anita Lucas
Mary Ann (Pair of Kings)
Anna and Fontana
The Annihilator
Annihilus
Anteater
Anthony the Weasel
Antonia
Antonio
Apaches
Aphra
Apothecary Gary
Apple Poison
Appoline
Arachnid
Arawn
Arbutus
Arcade
Archmage
Ares (Marvel)
Cumberlayne Aresko
Argon the Ageless
Argus Blinks
Ari
Armand
Armored Cards
Armstrong
Army of Scar
Arnold Mousenegger and Sugar Ray Lizard
Artie Smalls
Hamish Ascot
Asgardians
Ash Delgado
Fiona Ashbury
Ashcan and Pete
Mr. Ashland
Aspen
Lucian Aster
Asteroth
AT-AT drivers
Athena (Kim Possible)
Attuma
Auctioneer
The Auctioneer
Audrey (Descendants)
Aunt Spiker
Aunt Sponge
Auran
AUTO
Avemetrus
Aviarius
Axel (Jessie)
Axel (Tangled)
Miles Axlerod
Dr. Axolotl
Ayam Aghoul
Thomas Ayerton
Ayesha
Aziz
Azma
Azmorigan
B.E.V.
B.R.A.W.N.
Baasho
Baby Thaddeus
The Bad Boy (Dance of Goofy)
Bad Guys United
Big Bad Wolf
Bad-7
Bad-Anon
Badfoot
Dominic Badguy
Badlands Dan
Big Bad
Sunil Bakshi
Marta Balatico
Banagi
Bananas B.
Bandito Gang
Bandits
Lady Bane
Professor Bannister
Banshee
Banshee (Chip 'n Dale Rescue Rangers)
Banshee (Darby O'Gill and the Little People)
Hector Barbossa
Barnaby (Babes in Toyland)
Bucky Barnes
Chelsea Barnes
The Baron
Baron Blitz
Baron Strucker
Baron Von Rocha
Baron Von Sheldgoose
Baron Von Steamer
Baroness Von Hellman
Barry (Amphibia)
Dr. Simon BarSinister
